Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,ALBACETE,SANTA ANA,02328,AVENIDA PRINCIPE 2,D,-1.994028,38.900944,12/11/2023 00:00,1.579,,,1.719,,1.629,1.679,1.321,,,,,,,,,,REPSOL,L-D: 08:00-16:00
ALBACETE,ALBACETE,SALOBRAL (EL),02099,CTRA.AGUASNUEVAS KM 025,D,-1.922722,38.870278,12/11/2023 02:09,,,,,,,,1.200,,,,,,,,,,CORYMAR,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,AVENIDA PRIMERA S/N,D,-1.882056,39.022139,10/11/2023 16:22,1.499,,,,,1.489,,,,,,,,,,,,GMOIL,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,POLIGONO CAMPOLLANO C/.F 13,D,-1.889417,39.012472,06/11/2023 09:53,,,,,,1.529,,,,,,,,,,,,AVANZA OIL,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,POLIGONO ROMICA C/4 106,N,-1.836806,39.060639,10/11/2023 11:15,1.560,,,,,1.520,,,,,,,,,,,,VILLAFUEL SL,L: 24H
ALBACETE,ALBACETE,ALBACETE,02007,AUTOVIA A-31 KM. 69,I,-1.891361,39.031528,12/11/2023 00:00,1.629,,,1.779,,1.659,1.709,,,,,,,0.939,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,ALBACETE,ALBACETE,02007,MADRID-CARTAGENA km 2485,D,-1.845278,38.971722,12/11/2023 00:00,1.629,,1.679,1.749,,1.639,1.729,,,,,,,,,,,REPSOL. LOS ANGELES DE LA MANCHA S.L.,L-D: 06:00-22:00
ALBACETE,ALBACETE,ALBACETE,02007,MADRID-CARTAGENA km 2485,I,-1.845306,38.971778,12/11/2023 00:00,1.629,,,1.749,,1.639,1.729,,,,,,,,,,,REPSOL Nº ESTACIÓN 97179,L-V: 06:00-22:00
ALBACETE,ALBACETE,ALBACETE,02007,POLIGONO AVDA. 3ª ESQUINA C/AUTOVIA 69,D,-1.874333,39.018000,12/11/2023 00:40,1.589,,,1.709,,1.549,1.649,,,,,,,,,,,ENERCOM CARBURANTES,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02007,POLIGONO CAMPOLLANO 55,N,-1.871361,39.015444,09/11/2023 23:25,1.779,,,1.899,,1.749,1.819,,,,,,,,,,,CEPSA,L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00
